No. Cuenta,RPU,Nombre,Direccion,Colonia,Tarifa,Hilos,Carga Ins.,Demanda Cont.,Tipo Sum,Promedio Diario,No. Medidor,Año,Censo Fecha,No. Lamparas
23DP08E092310017,068200101247,MPIO CORTAZAR,CAMINO A PARRA SN             ,PARRA CORTAZAR                ,5A,2,0.575,0.625,3,8.4035,DX459E,2023,28/09/2023,6
25DP08E012506010,068140401858,MPIO CORTAZAR,CELAYA S N                    ,GUANAJUATO CORTAZAR           ,5A,2,0.243,0.375,3,0,Y635KP,2023,27/09/2023,3
25DP08E012506935,068140401831,MPIO CORTAZAR,ACAMBARO S N                  ,GUANAJUATO CORTAZAR           ,5A,2,1.156,1.125,3,0,Y632KP,2023,27/09/2023,12
25DP08E012505660,068140401840,MPIO CORTAZAR,SALVATIERRA S N               ,GUANAJUATO CORTAZAR           ,5A,2,0.331,0.245,3,0,M813TV,2023,27/09/2023,3
25DP08E012505570,071140403118,MPIO CORTAZAR,YURIRIA S N                   ,GUANAJUATO CORTAZAR           ,5A,2,0,0,3,0,J333KB,2021,22/09/2021,5
20DP08E012011935,068100703061,MPIO CORTAZAR,CALLE LA PALMA S N COL DEL VAL,VALLE DEL CORTAZAR            ,5A,2,0.581,0.952,3,0.2373,TY556P,2023,29/09/2023,9
20DP08E262020276,068181000736,MPIO CORTAZAR,LOMA DEL COLORADO S N         ,COLORADO EL CORTZAR           ,5A,2,2.281,0.812,2,7.5254,R067FJ,2023,26/09/2023,12
19DP08E111911397,068220750322,MUNICIPIO DE CORTAZAR,VENUSTIANO CARRANZA S N       ,JILOTE EL CORTAZAR            ,5A,2,0.225,4,3,0,UF535R,2023,25/09/2023,3
19DP08E151910751,068150450890,MPIO CORTAZAR,AVENIDA DEL CERRO S N         ,GALERAS DE CORTAZAR           ,5A,2,1.456,1.02,3,14.9492,Y317KM,2023,26/09/2023,12
19DP08E151910752,068150450903,MPIO CORTAZAR,AVENIDA LAS FUENTES S N       ,GALERAS DE CORTAZAR           ,5A,2,1,0.7,3,4.1525,037X9G,2023,27/09/2023,8
17DP08E051711921,068160156337,MPIO CORTAZAR,PADRE NIEVES S N CAM A LA CUEV,CANADA DE CARACHEO CORTAZAR   ,5A,2,0.575,0.57,3,0,547DLJ,2023,25/09/2023,6
19DP08E011901321,068200101204,MPIO CORTAZAR,ROSA SN                       ,SAN FRANCISCO CORTAZAR        ,5A,2,0.593,0.3,3,8.1356,DX456E,2023,28/09/2023,7
19DP08E011900338,068190200403,MPIO CORTAZAR,PRIV ROSALES S N S N          ,ROSALES CORTAZAR              ,5A,2,0,0,3,9.9831,N670CN,2021,22/09/2021,18
